Latitude,Longitude
3410442.928,-484802.0755
3410431.739,-484820.4679
3410421.35,-484839.305
3410411.532,-484858.5009
3410402.839,-484877.9346
3410395.048,-484897.616
3410388.504,-484917.818
3410383.435,-484938.6265
3410379.228,-484958.819
3410375.953,-484979.9311
3410373.713,-485001.7657
3410372.797,-485023.3481
3410373.018,-485045.4561
3410374.02,-485067.6249
3410376.21,-485088.9707
3410379.374,-485109.6954
3410383.772,-485130.6528
3410389.051,-485151.378
3410394.658,-485171.9922
3410400.03,-485192.3285
3410405.185,-485212.7708
3410409.233,-485233.3593
3410411.931,-485253.6242
3410413.505,-485273.6515
3410413.639,-485293.8402
3410411.988,-485313.9173
3410408.4,-485333.0242
3410403.343,-485351.6207
3410396.317,-485370.9795
3410387.727,-485390.2168
3410377.214,-485408.7718
3410365.209,-485426.3366
3410351.584,-485442.5322
3410336.241,-485457.6517
3410319.713,-485471.19
3410302.116,-485483.2381
3410283.463,-485494.0839
3410263.843,-485503.2425
3410243.483,-485510.7998
3410222.485,-485516.5588
3410201.404,-485520.4943
3410180.357,-485522.6974
3410158.667,-485523.0062
3410136.574,-485521.7945
3410114.967,-485519.0221
3410093.517,-485514.8001
3410072.263,-485509.9921
3410051.022,-485505.472
3410029.581,-485501.4419
3410008.089,-485498.7603
3409987.454,-485497.771
3409966.426,-485497.9536
3409945.343,-485499.3887
3409925.881,-485502.1931
3409907.586,-485506.1949
3409889.663,-485511.0453
3409872.228,-485516.8354
3409855.4,-485523.7521
3409839.163,-485531.4114
3409823.405,-485539.8184
3409808.121,-485548.8772
3409793.295,-485558.2037
3409778.828,-485568.0911
3409764.84,-485578.7262
3409751.335,-485590.2049
3409738.447,-485603.0022
3409726.602,-485616.7141
3409715.005,-485630.9917
3409703.665,-485646.0271
3409692.715,-485662.2952
3409682.59,-485679.5838
3409673.277,-485697.605
3409664.692,-485716.9398
3409657.359,-485736.8911
3409651.501,-485757.4489
3409646.792,-485778.8202
3409642.297,-485799.9895
3409637.913,-485821.1538
3409633.773,-485842.7879
3409630.064,-485864.114
3409626.547,-485884.7583
3409623.588,-485902.9729
3409621.138,-485922.6071
3409619.623,-485945.6613
3409620.091,-485965.8365
3409622.324,-485985.6433
3409626.099,-486005.0916
3409631.425,-486024.3736
3409637.942,-486042.9283
3409645.292,-486060.1951
3409654.303,-486077.2903
3409665.061,-486093.6332
3409676.646,-486108.5921
3409689.659,-486123.1016
3409703.965,-486136.6868
3409718.885,-486149.0902
3409734.838,-486159.7155
3409751.747,-486169.3358
3409769.159,-486177.7792
3409787.177,-486184.8486
3409805.706,-486190.9332
3409824.321,-486196.4368
3409843.193,-486202.6981
3409861.668,-486210.0352
3409879.627,-486218.2612
3409897.433,-486228.0329
3409914.732,-486238.8855
3409931.101,-486251.3189
3409946.459,-486266.01
3409960.216,-486282.2162
3409972.471,-486299.6446
3409983.445,-486318.2851
3409992.992,-486337.3749
3410001.169,-486358.1617
3410007.631,-486380.3727
3410012.053,-486401.8106
3410014.592,-486423.4302
3410014.922,-486445.4383
3410012.929,-486467.7443
3410008.919,-486489.757
3410003.212,-486511.1736
3409995.92,-486531.9889
3409986.9,-486551.5361
3409976.189,-486570.5832
3409963.861,-486588.3572
3409950.37,-486605.03
3409935.841,-486620.8843
3409920.299,-486636.4962
3409904.197,-486652.0373
3409887.954,-486666.9117
3409871.377,-486681.8012
3409854.907,-486696.5898
3409838.335,-486711.5754
3409821.122,-486727.1672
3409804.123,-486742.5569
3409787.137,-486758.2347
3409770.044,-486774.0135
3409752.751,-486790.2823
3409735.027,-486806.8592
3409717.525,-486823.4262
3409700.343,-486839.6901
3409683.276,-486856.045
3409666.308,-486872.107
3409649.856,-486887.28
3409633.203,-486902.943
3409616.675,-486918.889
3409601.32,-486933.7238
3409585.637,-486948.6698
3409569.735,-486963.7218
3409554.048,-486978.5719
3409538.685,-486993.2149
3409523.89,-487008.1207
3409509.505,-487022.2385
3409494.133,-487036.6897
3409478.791,-487051.8128
3409465.103,-487066.5723
3409452.578,-487082.4332
3409441.109,-487099.4964
3409431.123,-487117.358
3409423.048,-487135.6137
3409416.878,-487154.1676
3409412.712,-487172.7268
3409410.234,-487191.6902
3409409.333,-487211.0629
3409410.09,-487230.1679
3409411.966,-487249.4145
3409414.401,-487268.7318
3409416.957,-487288.236
3409419.85,-487307.8211
3409423.081,-487327.487
3409426.209,-487347.3499
3409429.355,-487367.5967
3409432.608,-487387.7425
3409435.963,-487407.6913
3409439.63,-487427.1451
3409443.869,-487446.9575
3409449.113,-487466.8204
3409455.343,-487486.35
3409462.239,-487505.8493
3409469.559,-487524.8484
3409477.305,-487543.4434
3409485.717,-487562.0081
